job,ws,sequence,priority,duration,start,end
0.0,4.0,10.0,10.0,25.0,91.0,116.0
0.0,12.0,20.0,10.0,75.0,116.0,191.0
0.0,15.0,30.0,10.0,75.0,496.0,571.0
0.0,2.0,40.0,10.0,76.0,624.0,700.0
0.0,11.0,50.0,10.0,38.0,700.0,738.0
0.0,3.0,60.0,10.0,62.0,751.0,813.0
0.0,5.0,70.0,10.0,38.0,881.0,919.0
0.0,8.0,80.0,10.0,59.0,919.0,978.0
0.0,1.0,90.0,10.0,14.0,1007.0,1021.0
0.0,13.0,100.0,10.0,13.0,1021.0,1034.0
0.0,6.0,110.0,10.0,46.0,1034.0,1080.0
0.0,10.0,120.0,10.0,31.0,1080.0,1111.0
0.0,7.0,130.0,10.0,57.0,1111.0,1168.0
0.0,14.0,140.0,10.0,92.0,1168.0,1260.0
0.0,9.0,150.0,10.0,3.0,1260.0,1263.0
1.0,6.0,10.0,2.0,67.0,47.0,114.0
1.0,1.0,20.0,2.0,5.0,114.0,119.0
1.0,4.0,30.0,2.0,11.0,119.0,130.0
1.0,9.0,40.0,2.0,11.0,130.0,141.0
1.0,5.0,50.0,2.0,40.0,203.0,243.0
1.0,2.0,60.0,2.0,34.0,343.0,377.0
1.0,13.0,70.0,2.0,77.0,377.0,454.0
1.0,15.0,80.0,2.0,42.0,454.0,496.0
1.0,7.0,90.0,2.0,35.0,496.0,531.0
1.0,8.0,100.0,2.0,96.0,531.0,627.0
1.0,11.0,110.0,2.0,22.0,627.0,649.0
1.0,3.0,120.0,2.0,55.0,649.0,704.0
1.0,10.0,130.0,2.0,21.0,704.0,725.0
1.0,14.0,140.0,2.0,29.0,725.0,754.0
1.0,12.0,150.0,2.0,16.0,754.0,770.0
2.0,3.0,10.0,3.0,22.0,0.0,22.0
2.0,4.0,20.0,3.0,98.0,130.0,228.0
2.0,15.0,30.0,3.0,8.0,228.0,236.0
2.0,1.0,40.0,3.0,35.0,236.0,271.0
2.0,10.0,50.0,3.0,59.0,271.0,330.0
2.0,13.0,60.0,3.0,31.0,330.0,361.0
2.0,6.0,70.0,3.0,13.0,361.0,374.0
2.0,5.0,80.0,3.0,46.0,374.0,420.0
2.0,8.0,90.0,3.0,52.0,420.0,472.0
2.0,11.0,100.0,3.0,22.0,472.0,494.0
2.0,9.0,110.0,3.0,18.0,494.0,512.0
2.0,12.0,120.0,3.0,19.0,512.0,531.0
2.0,14.0,130.0,3.0,64.0,531.0,595.0
2.0,2.0,140.0,3.0,29.0,595.0,624.0
2.0,7.0,150.0,3.0,70.0,624.0,694.0
3.0,9.0,10.0,9.0,99.0,0.0,99.0
3.0,11.0,20.0,9.0,42.0,105.0,147.0
3.0,2.0,30.0,9.0,2.0,147.0,149.0
3.0,14.0,40.0,9.0,35.0,149.0,184.0
3.0,4.0,50.0,9.0,11.0,251.0,262.0
3.0,5.0,60.0,9.0,92.0,262.0,354.0
3.0,15.0,70.0,9.0,88.0,354.0,442.0
3.0,10.0,80.0,9.0,97.0,442.0,539.0
3.0,3.0,90.0,9.0,21.0,605.0,626.0
3.0,6.0,100.0,9.0,56.0,708.0,764.0
3.0,12.0,110.0,9.0,17.0,770.0,787.0
3.0,8.0,120.0,9.0,43.0,787.0,830.0
3.0,1.0,130.0,9.0,27.0,830.0,857.0
3.0,7.0,140.0,9.0,19.0,857.0,876.0
3.0,13.0,150.0,9.0,23.0,891.0,914.0
4.0,15.0,10.0,5.0,50.0,108.0,158.0
4.0,9.0,20.0,5.0,5.0,191.0,196.0
4.0,2.0,30.0,5.0,59.0,466.0,525.0
4.0,3.0,40.0,5.0,71.0,534.0,605.0
4.0,11.0,50.0,5.0,47.0,649.0,696.0
4.0,10.0,60.0,5.0,39.0,725.0,764.0
4.0,13.0,70.0,5.0,82.0,764.0,846.0
4.0,5.0,80.0,5.0,35.0,846.0,881.0
4.0,7.0,90.0,5.0,12.0,881.0,893.0
4.0,6.0,100.0,5.0,2.0,893.0,895.0
4.0,1.0,110.0,5.0,39.0,895.0,934.0
4.0,14.0,120.0,5.0,42.0,934.0,976.0
4.0,4.0,130.0,5.0,52.0,976.0,1028.0
4.0,12.0,140.0,5.0,65.0,1028.0,1093.0
4.0,8.0,150.0,5.0,35.0,1093.0,1128.0
5.0,4.0,10.0,6.0,48.0,0.0,48.0
5.0,11.0,20.0,6.0,57.0,48.0,105.0
5.0,2.0,30.0,6.0,5.0,105.0,110.0
5.0,6.0,40.0,6.0,2.0,114.0,116.0
5.0,7.0,50.0,6.0,60.0,123.0,183.0
5.0,1.0,60.0,6.0,64.0,271.0,335.0
5.0,9.0,70.0,6.0,86.0,335.0,421.0
5.0,8.0,80.0,6.0,3.0,472.0,475.0
5.0,12.0,90.0,6.0,51.0,584.0,635.0
5.0,14.0,100.0,6.0,26.0,691.0,717.0
5.0,3.0,110.0,6.0,34.0,717.0,751.0
5.0,15.0,120.0,6.0,39.0,751.0,790.0
5.0,13.0,130.0,6.0,45.0,846.0,891.0
5.0,10.0,140.0,6.0,63.0,891.0,954.0
5.0,5.0,150.0,6.0,54.0,954.0,1008.0
6.0,3.0,10.0,14.0,40.0,22.0,62.0
6.0,11.0,20.0,14.0,43.0,147.0,190.0
6.0,2.0,30.0,14.0,50.0,700.0,750.0
6.0,13.0,40.0,14.0,71.0,914.0,985.0
6.0,9.0,50.0,14.0,46.0,985.0,1031.0
6.0,1.0,60.0,14.0,99.0,1209.0,1308.0
6.0,8.0,70.0,14.0,67.0,1308.0,1375.0
6.0,7.0,80.0,14.0,34.0,1375.0,1409.0
6.0,15.0,90.0,14.0,6.0,1409.0,1415.0
6.0,14.0,100.0,14.0,95.0,1415.0,1510.0
6.0,5.0,110.0,14.0,67.0,1510.0,1577.0
6.0,4.0,120.0,14.0,54.0,1577.0,1631.0
6.0,6.0,130.0,14.0,29.0,1631.0,1660.0
6.0,10.0,140.0,14.0,30.0,1660.0,1690.0
6.0,12.0,150.0,14.0,60.0,1690.0,1750.0
7.0,2.0,10.0,11.0,59.0,0.0,59.0
7.0,1.0,20.0,11.0,3.0,59.0,62.0
7.0,3.0,30.0,11.0,85.0,173.0,258.0
7.0,5.0,40.0,11.0,6.0,354.0,360.0
7.0,8.0,50.0,11.0,46.0,362.0,408.0
7.0,14.0,60.0,11.0,49.0,408.0,457.0
7.0,12.0,70.0,11.0,5.0,457.0,462.0
7.0,4.0,80.0,11.0,82.0,462.0,544.0
7.0,13.0,90.0,11.0,18.0,544.0,562.0
7.0,6.0,100.0,11.0,71.0,562.0,633.0
7.0,7.0,110.0,11.0,48.0,694.0,742.0
