job,ws,sequence,priority,duration,start,end
0.0,1.0,10.0,1.0,8.0,0.0,8.0
0.0,2.0,20.0,1.0,10.0,8.0,18.0
0.0,3.0,30.0,1.0,35.0,18.0,53.0
0.0,4.0,40.0,1.0,44.0,53.0,97.0
0.0,5.0,50.0,1.0,15.0,97.0,112.0
0.0,6.0,60.0,1.0,92.0,112.0,204.0
0.0,7.0,70.0,1.0,70.0,204.0,274.0
0.0,8.0,80.0,1.0,89.0,274.0,363.0
0.0,9.0,90.0,1.0,50.0,363.0,413.0
0.0,10.0,100.0,1.0,12.0,413.0,425.0
1.0,1.0,10.0,6.0,63.0,176.0,239.0
1.0,9.0,20.0,6.0,39.0,307.0,346.0
1.0,4.0,30.0,6.0,80.0,346.0,426.0
1.0,6.0,40.0,6.0,22.0,426.0,448.0
1.0,3.0,50.0,6.0,88.0,556.0,644.0
1.0,2.0,60.0,6.0,39.0,644.0,683.0
1.0,10.0,70.0,6.0,85.0,812.0,897.0
1.0,7.0,80.0,6.0,27.0,897.0,924.0
1.0,8.0,90.0,6.0,74.0,924.0,998.0
1.0,5.0,100.0,6.0,69.0,998.0,1067.0
2.0,1.0,10.0,2.0,52.0,8.0,60.0
2.0,7.0,20.0,2.0,22.0,60.0,82.0
2.0,2.0,30.0,2.0,33.0,82.0,115.0
2.0,4.0,40.0,2.0,68.0,115.0,183.0
2.0,9.0,50.0,2.0,27.0,183.0,210.0
2.0,3.0,60.0,2.0,68.0,210.0,278.0
2.0,6.0,70.0,2.0,25.0,278.0,303.0
2.0,5.0,80.0,2.0,34.0,303.0,337.0
2.0,8.0,90.0,2.0,24.0,363.0,387.0
2.0,10.0,100.0,2.0,84.0,425.0,509.0
3.0,1.0,10.0,5.0,31.0,145.0,176.0
3.0,2.0,20.0,5.0,85.0,296.0,381.0
3.0,5.0,30.0,5.0,55.0,381.0,436.0
3.0,9.0,40.0,5.0,80.0,467.0,547.0
3.0,6.0,50.0,5.0,58.0,547.0,605.0
3.0,8.0,60.0,5.0,11.0,662.0,673.0
3.0,7.0,70.0,5.0,69.0,687.0,756.0
3.0,10.0,80.0,5.0,56.0,756.0,812.0
3.0,4.0,90.0,5.0,73.0,812.0,885.0
3.0,3.0,100.0,5.0,25.0,885.0,910.0
4.0,1.0,10.0,10.0,97.0,307.0,404.0
4.0,6.0,20.0,10.0,98.0,738.0,836.0
4.0,10.0,30.0,10.0,87.0,897.0,984.0
4.0,9.0,40.0,10.0,47.0,984.0,1031.0
4.0,8.0,50.0,10.0,77.0,1109.0,1186.0
4.0,5.0,60.0,10.0,90.0,1190.0,1280.0
4.0,4.0,70.0,10.0,98.0,1299.0,1397.0
4.0,3.0,80.0,10.0,80.0,1397.0,1477.0
4.0,2.0,90.0,10.0,39.0,1477.0,1516.0
4.0,7.0,100.0,10.0,40.0,1516.0,1556.0
5.0,2.0,10.0,9.0,97.0,115.0,212.0
5.0,6.0,20.0,9.0,68.0,448.0,516.0
5.0,1.0,30.0,9.0,44.0,516.0,560.0
5.0,10.0,40.0,9.0,67.0,568.0,635.0
5.0,3.0,50.0,9.0,44.0,644.0,688.0
5.0,9.0,60.0,9.0,85.0,823.0,908.0
5.0,4.0,70.0,9.0,78.0,908.0,986.0
5.0,7.0,80.0,9.0,90.0,986.0,1076.0
5.0,8.0,90.0,9.0,33.0,1076.0,1109.0
5.0,5.0,100.0,9.0,81.0,1109.0,1190.0
6.0,1.0,10.0,3.0,34.0,60.0,94.0
6.0,4.0,20.0,3.0,76.0,183.0,259.0
6.0,9.0,30.0,3.0,48.0,259.0,307.0
6.0,8.0,40.0,3.0,61.0,387.0,448.0
6.0,10.0,50.0,3.0,11.0,509.0,520.0
6.0,3.0,60.0,3.0,36.0,520.0,556.0
6.0,5.0,70.0,3.0,33.0,556.0,589.0
6.0,7.0,80.0,3.0,98.0,589.0,687.0
6.0,2.0,90.0,3.0,7.0,687.0,694.0
6.0,6.0,100.0,3.0,44.0,694.0,738.0
7.0,1.0,10.0,8.0,44.0,263.0,307.0
7.0,10.0,20.0,8.0,5.0,307.0,312.0
7.0,5.0,30.0,8.0,85.0,436.0,521.0
7.0,2.0,40.0,8.0,51.0,521.0,572.0
7.0,6.0,50.0,8.0,58.0,605.0,663.0
7.0,8.0,60.0,8.0,79.0,750.0,829.0
7.0,3.0,70.0,8.0,95.0,1070.0,1165.0
7.0,7.0,80.0,8.0,48.0,1165.0,1213.0
7.0,4.0,90.0,8.0,86.0,1213.0,1299.0
7.0,9.0,100.0,8.0,73.0,1299.0,1372.0
8.0,1.0,10.0,7.0,24.0,239.0,263.0
8.0,2.0,20.0,7.0,63.0,381.0,444.0
8.0,10.0,30.0,7.0,48.0,520.0,568.0
8.0,8.0,40.0,7.0,77.0,673.0,750.0
8.0,9.0,50.0,7.0,73.0,750.0,823.0
8.0,7.0,60.0,7.0,74.0,823.0,897.0
8.0,5.0,70.0,7.0,63.0,897.0,960.0
8.0,6.0,80.0,7.0,17.0,960.0,977.0
8.0,3.0,90.0,7.0,93.0,977.0,1070.0
8.0,4.0,100.0,7.0,84.0,1070.0,1154.0
9.0,1.0,10.0,4.0,51.0,94.0,145.0
9.0,3.0,20.0,4.0,5.0,145.0,150.0
9.0,5.0,30.0,4.0,40.0,150.0,190.0
9.0,10.0,40.0,4.0,60.0,190.0,250.0
9.0,2.0,50.0,4.0,46.0,250.0,296.0
9.0,6.0,60.0,4.0,58.0,303.0,361.0
9.0,9.0,70.0,4.0,54.0,413.0,467.0
9.0,4.0,80.0,4.0,72.0,467.0,539.0
9.0,7.0,90.0,4.0,29.0,539.0,568.0
9.0,8.0,100.0,4.0,94.0,568.0,662.0
